VolcanoNumber,VolcanoName,Country,PrimaryVolcanoType,ActivityEvidence,LastKnownEruption,Region,Subregion,Latitude,Longitude,Elevation,DominantRockType,TectonicSetting,,,Multiple
221160,Ayelu,Ethiopia,stratovolcano,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,10.082,40.702,2145,Rhyolite,Rift zone / Intermediate crust (15-25 km),,,false
221170,Adwa,Ethiopia,stratovolcano,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,10.07,40.84,1733,Rhyolite,Rift zone / Intermediate crust (15-25 km),,,false
221171,Hertali,Ethiopia,fissure-vent,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,9.78,40.33,900,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km),,,false
221172,Liado Hayk,Ethiopia,maar,Evidence Uncertain,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,9.57,40.28,878,No Data (checked),Rift zone / Continental crust (>25 km),,,true
221180,Dofan,Ethiopia,stratovolcano,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,9.35,40.13,1151,Rhyolite,Rift zone / Continental crust (>25 km),,,false
221190,Fentale,Ethiopia,stratovolcano,Eruption Observed,1820 CE,Africa and Red Sea,Africa (northeastern) and Red Sea,8.975,39.93,2007,Rhyolite,Rift zone / Continental crust (>25 km),,,false
221191,Beru,Ethiopia,volcanic-field,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,8.95,39.75,1100,Basalt / Picro-Basalt,Rift zone / Continental crust (>25 km),,,false
221200,Kone,Ethiopia,caldera,Eruption Observed,1820 CE,Africa and Red Sea,Africa (northeastern) and Red Sea,8.8,39.692,1619,Rhyolite,Rift zone / Continental crust (>25 km),,,true
221201,Unnamed,Ethiopia,pyroclastic-cone,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,8.7,39.63,1300,Basalt / Picro-Basalt,Rift zone / Continental crust (>25 km),,,true
221210,Boset-Bericha,Ethiopia,stratovolcano,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,8.558,39.475,2447,Rhyolite,Rift zone / Continental crust (>25 km),,,true
221220,Bishoftu Volcanic Field,Ethiopia,fissure-vent,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,8.78,38.98,1850,Basalt / Picro-Basalt,Rift zone / Continental crust (>25 km),,,true
221221,Unnamed,Ethiopia,fissure-vent,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,8.62,38.95,1800,Basalt / Picro-Basalt,Rift zone / Continental crust (>25 km),,,true
221222,Sodore,Ethiopia,pyroclastic-cone,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,8.43,39.35,1765,Basalt / Picro-Basalt,Intraplate / Continental crust (>25 km),,,true
221230,Gedamsa,Ethiopia,caldera,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,8.35,39.18,1984,Rhyolite,Rift zone / Continental crust (>25 km),,,false
221240,Bora-Bericcio,Ethiopia,pyroclastic-cone,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,8.27,39.03,2285,Rhyolite,Rift zone / Continental crust (>25 km),,,true
221250,Tullu Moje,Ethiopia,pyroclastic-cone,Eruption Observed,1900 CE,Africa and Red Sea,Africa (northeastern) and Red Sea,8.158,39.13,2349,Rhyolite,Rift zone / Continental crust (>25 km),,,false
221251,Unnamed,Ethiopia,fissure-vent,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,8.07,39.07,1800,Basalt / Picro-Basalt,Intraplate / Continental crust (>25 km),,,true
221252,East Zway,Ethiopia,fissure-vent,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,7.95,38.93,1889,Basalt / Picro-Basalt,Rift zone / Continental crust (>25 km),,,true
221260,Butajiri-Silti Field,Ethiopia,fissure-vent,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,8.05,38.35,2281,Basalt / Picro-Basalt,Rift zone / Continental crust (>25 km),,,true
221270,Alutu,Ethiopia,stratovolcano,Eruption Dated,50 BCE,Africa and Red Sea,Africa (northeastern) and Red Sea,7.77,38.78,2335,Rhyolite,Rift zone / Continental crust (>25 km),,,false
221280,O'a Caldera,Ethiopia,caldera,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,7.47,38.58,2075,Rhyolite,Rift zone / Continental crust (>25 km),,,false
221290,Corbetti Caldera,Ethiopia,caldera,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,7.18,38.43,2320,Rhyolite,Rift zone / Continental crust (>25 km),,,false
221291,Bilate River Field,Ethiopia,maar,Unrest / Holocene,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,7.07,38.1,1700,No Data (checked),Intraplate / Continental crust (>25 km),,,true
221292,Tepi,Ethiopia,shield,Unrest / Holocene,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,7.42,35.43,2728,Basalt / Picro-Basalt,Intraplate / Continental crust (>25 km),,,false
221293,Hobicha Caldera,Ethiopia,caldera,Evidence Uncertain,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,6.78,37.83,1800,Basalt / Picro-Basalt,Intraplate / Continental crust (>25 km),,,false
221300,Chiracha,Ethiopia,stratovolcano,Evidence Uncertain,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,6.65,38.12,1650,Rhyolite,Rift zone / Continental crust (>25 km),,,false
221310,Tosa Sucha,Ethiopia,pyroclastic-cone,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,5.93,37.57,1650,Basalt / Picro-Basalt,Rift zone / Continental crust (>25 km),,,true
221311,Unnamed,Ethiopia,pyroclastic-cone,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,5.65,37.67,1200,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km),,,true
221320,Korath Range,Ethiopia,tuff-cone,Evidence Uncertain,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,5.1,35.88,912,Trachybasalt / Tephrite Basanite,Rift zone / Intermediate crust (15-25 km),,,true
221330,Mega Basalt Field,Ethiopia-Kenya,pyroclastic-cone,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,4.08,37.42,1067,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km),,,true
222001,North Island,Kenya,tuff-cone,Evidence Credible,Unknown,Africa and Red Sea,Africa (eastern),4.07,36.05,520,Trachyandesite / Basaltic Trachyandesite,Rift zone / Continental crust (>25 km),,,true
